[10:22:51.063] DB_PATH :
[10:22:51.067] D:\RND_WORK\Godo\GoDo_260714\DB\godo_system.db
[10:23:05.734] [INFO] 시료 비커 모드 선택됨
[10:23:05.737] [INFO] 로봇 제어 변수 초기화 완료 (오프셋 변수 제외)
[10:23:05.987] [VISION] 카메라 네트워크 연결 시도 중 (192.168.1.11)...
[10:23:05.988] [VISION FATAL] 카메라 연결 실패: VendorTCPClient: Connect to server failed! addr=192.168.1.11, port=8090, err=socket is not ready & timeout
[10:23:05.988] [DEBUG] 비전 카메라 연결 실패
[10:23:06.020] [System] 백그라운드 자동 연결 시작...
[10:23:06.020] [System] 외부 통신 TCP 서버 시작됨 (포트: 5000)...
[10:23:06.535] Error connecting to 192.168.1.101 on port 29999: timed out
[10:23:07.048] Error connecting to 192.168.1.101 on port 30001: timed out
[10:23:07.049] [PC Modbus Client] 로봇 서버(192.168.1.101:502, ID:255)에 코일 통신 연결 시도 중...
[10:23:07.772] Error sending command: timed out
[10:23:08.062] [PC Modbus Client] 로봇 서버 접속 실패
[10:23:08.063] [ERROR] 로봇 연결 실패: 29999 포트 연결 실패
[10:23:11.678] Error sending command: timed out
[10:23:15.270] Error sending command: timed out
[10:23:15.271] Error sending command: timed out
[10:23:18.906] Error sending command: timed out
[10:23:18.908] Error sending command: timed out
[10:23:22.506] Error sending command: timed out
[10:23:22.509] Error sending command: timed out
[10:23:26.104] Error sending command: timed out
[10:23:26.105] Error sending command: timed out
[10:23:29.722] Error sending command: timed out
[10:23:29.723] Error sending command: timed out
[10:23:33.329] Error sending command: timed out
[10:23:33.331] Error sending command: timed out
[10:23:36.935] Error sending command: timed out
[10:23:36.950] Error sending command: timed out
[10:23:40.545] Error sending command: timed out
[10:23:40.546] Error sending command: timed out
[10:23:44.157] Error sending command: timed out
[10:23:44.159] Error sending command: timed out
[10:23:47.762] Error sending command: timed out
[10:23:47.763] Error sending command: timed out
[10:23:51.372] Error sending command: timed out
[10:23:51.373] Error sending command: timed out
[10:23:54.979] Error sending command: timed out
[10:23:54.980] Error sending command: timed out
[10:23:58.596] Error sending command: timed out
[10:23:58.597] Error sending command: timed out
[10:24:02.195] Error sending command: timed out
